,Brand,Result
0,Samsung, charge battery dead must
1,Samsung, fast described item shipped
2,Samsung, battery minute horrible shotty
4,Samsung, defective turn wo shuts
6,Samsung, simple price basic bell
7,Samsung, card sim telephone network
9,Samsung, basically card slot sim
12,Samsung, slow apps make web
13,Apple, expected ecelent everything 
16,Samsung, country gsm unable use
18,Samsung, life battery cheap good
20,Samsung, work job great shape
21,Samsung, speaker hear sound headphone
22,Samsung, reception g basement bar
23,Samsung, returned defective back item
25,Samsung, cel unlocked true traffic
27,Samsung, international unlocked though say
29,Samsung, samsung s functioning galaxy
30,Samsung, white scratch black wrapping
31,Samsung, screen cracked display week
32,Samsung, unlocked locked botspot anyone
34,Samsung, read reader kept passed
40,Samsung, new brand apple look
45,Samsung, tmobile att etc message
47,Samsung, charger cord come glitch
48,Samsung, worst ever bad phone
52,Samsung, light pda slick timely
53,Samsung, broken yet fixed gald
57,Samsung, core unlocked functionalsamsung mp
60,Nokia, expected ecelent everything 
68,Samsung, new tem described plenty
73,Samsung, venezuela movistar movilnet digitel
107,Samsung, camera front isnt quality
115,Samsung, upgrade update io software
118,Samsung, advertised exactly quickly thankyou
119,Samsung, touch screen swipe finger
121,Samsung, button home push stick
122,Samsung, still count handle trying
124,Samsung, exactly wanted everything described
127,Samsung, small goodyou rangei size
128,Samsung, boostmobile card sim work
133,Samsung, expected ecelent everything 
145,Samsung, excelent site glitch buy
156,Samsung, verizon activate signel get
164,Samsung, locked restricted lock scren
166,Samsung, unlock locked ordered while
174,Samsung, nokia people worse pnone
179,Samsung, refurbished multiple lot shaking
191,Samsung, water damage fixed didnt
200,Samsung, niece thak better deal
212,Samsung, gs cable charger iphone
228,Samsung, glass son addt thus
230,Samsung, button said refused anything
244,Apple, exactly wanted everything described
258,Apple, advertised exactly quickly thankyou
266,Samsung, gb gb gb gb
269,Apple, worst ever bad phone
296,Samsung, charge hold worked 
363,Samsung, lint cleaned pulling plug
426,Samsung, spanish language english doesnt
451,Nokia, work job great shape
595,Samsung, beating month still le
657,Apple, basically card slot sim
659,Apple, verizon activate signel get
660,Apple, locked restricted lock scren
661,Apple, speaker hear sound headphone
663,Apple, button home push stick
664,Apple, broken yet fixed gald
665,Apple, charger cord come glitch
669,Apple, lint cleaned pulling plug
672,Apple, gs cable charger iphone
673,Apple, gb gb gb gb
674,Apple, defective turn wo shuts
675,Apple, light pda slick timely
676,Apple, new brand apple look
681,Apple, simple price basic bell
686,Apple, boostmobile card sim work
688,Apple, apple  warehouse base
704,Apple, slow apps make web
708,Apple, screen cracked display week
721,Apple, still count handle trying
794,Apple, niece thak better deal
798,Apple, work job great shape
800,Apple, samsung s functioning galaxy
801,Apple, returned defective back item
810,Apple, new tem described plenty
811,Apple, water damage fixed didnt
812,Apple, fast described item shipped
821,Apple, touch screen swipe finger
822,Apple, white scratch black wrapping
844,Apple, small goodyou rangei size
847,Apple, glass son addt thus
848,Apple, unlocked locked botspot anyone
854,Apple, cel unlocked true traffic
863,Apple, upgrade update io software
869,Apple, charge hold worked 
872,Apple, camera front isnt quality
874,Apple, read reader kept passed
886,Apple, button said refused anything
889,Apple, nokia people worse pnone
890,Apple, international unlocked though say
892,Apple, reception g basement bar
895,Apple, excelent site glitch buy
897,Apple, battery minute horrible shotty
906,Apple, unlock locked ordered while
987,Apple, country gsm unable use
1003,Apple, gsm signal india whereas
1008,Apple, refurbished multiple lot shaking
1032,Apple, charge battery dead must
1038,Apple, card sim telephone network
1059,Apple, tmobile att etc message
1068,Apple, beating month still le
1077,Apple, life battery cheap good
1107,Apple, spanish language english doesnt
1587,Nokia, spanish language english doesnt
1588,Nokia, fast described item shipped
1590,Nokia, battery minute horrible shotty
1591,Nokia, gsm signal india whereas
1593,Nokia, card sim telephone network
1594,Nokia, gs cable charger iphone
1596,Nokia, worst ever bad phone
1597,Nokia, reception g basement bar
1599,Nokia, advertised exactly quickly thankyou
1603,Nokia, returned defective back item
1604,Nokia, lint cleaned pulling plug
1605,Nokia, locked restricted lock scren
1606,Nokia, international unlocked though say
1607,Nokia, niece thak better deal
1608,Nokia, unlocked locked botspot anyone
1611,Nokia, exactly wanted everything described
1618,Nokia, country gsm unable use
1625,Nokia, unlock locked ordered while
1626,Nokia, simple price basic bell
1630,Nokia, verizon activate signel get
1637,Nokia, speaker hear sound headphone
1638,Nokia, excelent site glitch buy
1639,Nokia, broken yet fixed gald
1645,Nokia, new brand apple look
1672,Nokia, beating month still le
1677,Nokia, screen cracked display week
1684,Nokia, life battery cheap good
1698,Nokia, defective turn wo shuts
1700,Nokia, nokia people worse pnone
1715,Nokia, venezuela movistar movilnet digitel
1717,Nokia, new tem described plenty
1734,Nokia, cel unlocked true traffic
1738,Nokia, core unlocked functionalsamsung mp
1837,Nokia, tmobile att etc message
1843,Nokia, read reader kept passed
1855,Nokia, small goodyou rangei size
1867,Nokia, boostmobile card sim work
1875,Nokia, refurbished multiple lot shaking
1880,Nokia, slow apps make web
1881,Nokia, camera front isnt quality
1882,Nokia, upgrade update io software
1886,Nokia, gb gb gb gb
1901,Nokia, charge battery dead must
1925,Nokia, glass son addt thus
1926,Nokia, charge hold worked 
1974,Nokia, charger cord come glitch
1986,Nokia, touch screen swipe finger
2011,Nokia, white scratch black wrapping
2149,Nokia, light pda slick timely
2167,Nokia, apple  warehouse base
