,Brand,Result
0,Samsung, stoled ihad new happy
1,Samsung, phone call use nokia
2,Samsung, happy enjoy thankful im
3,Samsung, ty tryna voxox aint
4,Samsung, button home stick working
5,Samsung, charge charged charging charger
6,Samsung, charging unusedso generated port
7,Samsung, phone call use nokia
8,Samsung, phone call use nokia
9,Samsung, battery life hr lasted
10,Samsung, problem complaint godblessxoxo adi
11,Samsung, phone call use nokia
12,Samsung, ross broken broke disatisfied
13,Samsung, phone call use nokia
14,Samsung, phone call use nokia
15,Samsung, phone call use nokia
16,Samsung, phone call use nokia
17,Samsung, phone call use nokia
18,Samsung, phone call use nokia
19,Samsung, verizon periodically promise agian
20,Samsung, pro resolutioncons tsummary investing
21,Samsung, activate esn linked balance
22,Samsung, condition ordering thank listed
23,Samsung, phone call use nokia
24,Samsung, phone call use nokia
25,Samsung, droid x iphone suggested
26,Samsung, problem complaint godblessxoxo adi
27,Samsung, phone call use nokia
28,Samsung, pp conditionsca fascinates premium
29,Samsung, delievery thanks everything perfect
30,Samsung, phone call use nokia
31,Samsung, workes easy score techy
32,Samsung, phone call use nokia
33,Samsung, condition ordering thank listed
34,Samsung, phone call use nokia
35,Samsung, fumble birdwatching deposit opted
36,Samsung, phone call use nokia
37,Samsung, phone call use nokia
38,Samsung, expected expectation promised everithing
39,Samsung, recommended punctual responsible 
40,Samsung, warranty advertise italian buyer
41,Samsung, phone call use nokia
42,Samsung, intrest modelwow doubtmanny depina
43,Samsung, box headphone original came
44,Samsung, displayless displaying lour goodpoor
45,Samsung, technical indian support gprs
46,Samsung, advertized strongly stock forward
47,Samsung, phone call use nokia
48,Samsung, phone call use nokia
49,Samsung, phone call use nokia
50,Nokia, good fone oh clean
51,Samsung, loved liked exceeded wet
52,Samsung, buy purchase afternoon ok
53,Samsung, charge charged charging charger
54,Samsung, mom dad son father
55,Samsung, suck fw upscaled nicethe
56,Samsung, camera front solution picture
57,Nokia, perfect perfecto veri thank
58,Samsung, son christmas gift clam
59,Samsung, ty tryna voxox aint
60,Samsung, phone call use nokia
61,Samsung, great evening nonsmartphone fried
62,Nokia, fone bueno good muy
63,Samsung, good vey wanted hold
64,Samsung, phone call use nokia
65,Nokia, good fone oh clean
66,Samsung, phone call use nokia
67,Samsung, phone call use nokia
68,Samsung, phone call use nokia
69,Samsung, charging unusedso generated port
70,Samsung, description  turbo blackunlocked
71,Samsung, love newborn bold baby
72,Apple, great lot amazing easy
73,Samsung, completing hacked goin threw
74,Nokia, great friend  
75,Samsung, phone call use nokia
76,Samsung, phone call use nokia
77,Samsung, enhance seeking technological class
78,Samsung, mom dad son father
79,Samsung, phone call use nokia
80,Samsung, phone call use nokia
81,Samsung, phone call use nokia
82,Samsung, s s mb pioneered
83,Samsung, phone call use nokia
84,Samsung, problem complaint godblessxoxo adi
85,Nokia, excellent ver ad en
86,Samsung, phone call use nokia
87,Samsung, delivery prompt ty fast
88,Samsung, phone call use nokia
89,Samsung, phone call use nokia
90,Samsung, scratch condition scratched dent
91,Samsung, coolest owned best samsung
92,Samsung, nice semismart evry a
93,Samsung, advertized strongly stock forward
94,Samsung, advertized strongly stock forward
95,Apple, buy purchase afternoon ok
96,Samsung, delivery product arrived apreciated
97,Samsung, phone call use nokia
98,Samsung, tmobile commenting estonian daysafter
99,Samsung, coolest owned best samsung
100,Samsung, shipping fast shipped shipment
101,Samsung, scratch condition scratched dent
102,Samsung, straight talk avoid att
103,Samsung, battery life hr lasted
104,Samsung, nice semismart evry a
105,Samsung, galaxy gb cameraandroid 
106,Samsung, product excellent seller price
107,Samsung, s mini imei a
108,Samsung, phone call use nokia
109,Samsung, phone call use nokia
110,Samsung, speaker hear blown forreal
111,Samsung, phone call use nokia
112,Samsung, thanks thank ok hoping
113,Samsung, box headphone original came
114,Samsung, phone call use nokia
115,Samsung, delivered verizonupdated guessing obvious
116,Samsung, price sorry kid great
117,Samsung, phone call use nokia
118,Samsung, grade recomended cheer fair
119,Samsung, signal nearperfect gmate contry
120,Samsung, cellphone celphone practice cell
121,Samsung, s s mb pioneered
122,Samsung, price sorry kid great
123,Samsung, headset seal unexpected headphone
124,Samsung, excellent ver ad en
125,Nokia, fine perfectly work working
126,Samsung, lte band g supported
127,Samsung, condition ordering thank listed
128,Samsung, phone call use nokia
129,Samsung, phone call use nokia
130,Samsung, phone call use nokia
131,Samsung, expected expectation promised everithing
132,Samsung, phone call use nokia
133,Samsung, water waterproof proof dropped
134,Nokia, good fone oh clean
135,Samsung, phone call use nokia
136,Samsung, s galaxy oppose itoverall
137,Samsung, coolest owned best samsung
138,Samsung, unlock locked code unlocked
139,Samsung, refurbished shame fool looked
140,Nokia, great evening nonsmartphone fried
141,Samsung, s mini imei a
142,Nokia, satisfied thisproduct completely satisfying
143,Samsung, complain extends estate gs
144,Samsung, dropped drop mths discounted
145,Samsung, freeze freezing texter slow
146,Nokia, great evening nonsmartphone fried
147,Samsung, problem complaint godblessxoxo adi
148,Nokia, good fone oh clean
149,Samsung, product excellent seller price
150,Samsung, delivered verizonupdated guessing obvious
151,Nokia, thanks thank luck ty
152,Nokia, work great amazing look
153,Samsung, pp conditionsca fascinates premium
154,Samsung, sleek satisfied duo completely
155,Samsung, phone call use nokia
156,Samsung, phone call use nokia
157,Samsung, phone call use nokia
